JSON_Name1,alcohol,chlorides,citricacid,density,fixedacidity,freesulfurdioxide,id,ph,quality,residualsugar,sulphates,totalsulfurdioxide,volatileacidity,winetype
4311,9.2,0.082,0.45,0.9988,11.3,6,4312,2.94,6,2,0.66,15,0.34,red
6435,11.6,0.045,0.32,0.9935,7,35,6436,3.09,8,10.5,0.33,135,0.36,white
3902,9.8,0.048,0.1,0.9927,6.4,19,3903,3.21,5,1.1,0.38,84,0.34,white
5366,10.6,0.037,0.35,0.9933,6,16,5367,3.16,5,1.9,0.69,120,0.28,white
401,10,0.04,0.34,0.992,5.7,13,402,3.27,5,1,0.66,174,0.335,white
2009,12.5,0.027,0.22,0.9893,5.1,18,2010,3.51,7,1.6,0.38,89,0.33,white
6237,11.8,0.04,0.35,0.99102,6.5,27,6238,2.98,6,3.9,0.53,140,0.2,white
2806,10.5,0.046,0.4,0.99194,8.5,31,2807,3,4,1.1,0.35,106,0.2,white
4783,9.3,0.037,0.74,0.9998,7.9,52,4784,2.99,5,17.85,0.41,187,0.16,white
1026,12.4,0.048,0.36,0.995,8.1,35,1027,3.27,7,2.2,1.01,53,0.29,red
6260,10.8,0.038,0.44,0.99526,9.3,21,6261,3.24,7,1.6,0.81,42,0.37,red
3658,12.5,0.078,0.39,0.99444,8.3,17,3659,3.31,7,2.4,0.77,43,0.31,red
5852,9.2,0.09,0.69,1,11.4,6,5853,3.17,6,2.1,0.62,21,0.36,red
3233,11.8,0.045,0.34,0.99035,5.8,96,3234,3.38,8,1.8,0.9,170,0.17,white
3230,12.8,0.036,0.44,0.9913,7.6,10,3231,3.01,6,1.9,0.7,119,0.21,white
5093,9.8,0.067,0.35,0.995,6.9,32,5094,3.36,5,5,0.48,150,0.19,white
3501,12.1,0.028,0.34,0.9901,7.8,32,3502,3,7,1.6,0.38,118,0.28,white
3205,12.7,0.07,0.42,0.99426,8.3,9,3206,3.38,7,2.3,0.77,20,0.33,red
5866,9.4,0.1,0.28,0.9966,7.8,18,5867,3.22,5,2.7,0.67,95,0.44,red
2017,11.5,0.036,0.37,0.9911,6.5,48,2018,3.41,8,1,0.51,114,0.13,white
6070,11.5,0.032,0.35,0.99458,8.9,32,6071,3.15,7,4.6,0.45,148,0.3,white
1714,9.2,0.051,0.26,0.99416,6,16,1715,3.15,5,5.1,0.41,119,0.33,white
6017,9.4,0.061,0.49,0.9938,8,27,6018,3.08,5,1.2,0.34,117,0.25,white
5466,10.3,0.033,0.24,0.99334,7.2,23,5467,2.92,7,5.6,0.66,120,0.32,white
2259,9.5,0.05,0.26,0.9946,8,11.5,2260,3.24,4,1.2,0.37,88,0.32,white
5661,10.2,0.034,0.28,0.99405,7.1,23,5662,3.35,4,2.7,0.64,111,0.21,white
1127,8.4,0.2,0.49,0.9994,10.4,5,1128,3.16,3,2.1,0.63,16,0.61,red
529,10,0.048,0.19,0.9934,6.6,17,530,3.34,5,0.8,0.56,204,0.905,white
5979,9.4,0.045,0.41,0.9952,6.4,61,5980,3.09,5,6.8,0.46,216,0.28,white
791,12,0.034,0.33,0.9917,6.3,19,792,3.38,7,4.6,0.58,80,0.34,white
2238,12.9,0.037,0.27,0.98834,6.2,30,2239,3.05,7,1.3,0.59,86,0.255,white
620,9.6,0.081,0,0.99798,8.1,12,621,3.38,4,2.5,0.46,24,0.73,red
1030,9.6,0.034,0.31,0.9944,7,34,1031,3.36,7,4.8,0.48,132,0.17,white
3942,10.5,0.081,0.19,0.9984,9.8,8,3943,3.23,6,3.2,0.58,30,0.51,red
5721,9.2,0.06,0.04,0.9934,6.2,23,5722,3.26,5,1.2,0.54,108,0.35,white
4428,9.6,0.051,0.49,0.9928,6.1,18,4429,3.3,5,1.5,0.46,87,0.22,white
955,8.9,0.043,0.4,0.9996,6.9,36,956,2.93,5,19.45,0.47,156,0.29,white
2646,12.4,0.042,0.35,0.9906,6.8,16,2647,3.19,6,2.3,0.56,85,0.28,white
569,9.4,0.052,0.14,0.99475,6.2,27,570,3.21,5,4.8,0.48,128,0.33,white
1409,12.4,0.039,0.6,0.99585,9.7,5,1410,3.3,6,2,0.86,19,0.53,red
1768,9.6,0.055,0.25,0.99767,6.2,8,1769,3.19,6,15,0.53,120,0.2,white
1089,9,0.05,0.44,0.99679,7.4,40,1090,3.12,5,7.6,0.52,227,0.33,white
5893,11.7,0.03,0.28,0.99062,5.7,22,5894,3.31,7,4.1,0.38,86,0.31,white
1040,8.5,0.059,0.35,0.9971,6.1,83,1041,3.37,5,9.1,0.5,249,0.43,white
6393,10.1,0.068,0.34,0.99138,4.9,32,6394,3.24,5,1,0.4,143,0.345,white
3862,9.4,0.07,0.26,0.9981,7.3,35,3863,3.37,5,7.2,0.49,121,0.59,red
284,10,0.037,0.4,0.9926,8.1,73,285,3.06,6,0.9,0.34,180,0.19,white
4442,10.9,0.045,0.33,0.9942,7.5,30,4443,3.32,6,5,0.44,131,0.38,white
5858,9.7,0.065,0,0.9954,8.7,24,5859,3.27,5,1.4,0.55,33,0.84,red
3985,9,0.05,0.34,0.9983,7.3,38,3986,3.03,6,15.4,0.42,174,0.24,white
2122,8.6,0.039,0.58,0.9978,7.7,41,2123,3.06,5,11.1,0.49,151,0.34,white
2050,10.5,0.042,0.41,0.9922,9.2,14,2051,2.96,6,1,0.25,59,0.28,white
3187,9.8,0.07,0.06,0.9942,7.1,5,3188,3.17,5,1.3,0.48,12,0.62,red
4200,9.5,0.054,0.3,0.99728,6.2,108,4201,3.1,6,12.4,0.47,152,0.22,white
2427,11,0.047,0.33,0.99283,6.8,42,2428,3.12,6,4.9,0.56,130,0.19,white
2617,9.4,0.08,0,0.9972,7.1,14,2618,3.47,5,1.9,0.55,35,0.71,red
759,10.7,0.04,0.34,0.99216,6.5,25,760,3.29,5,1.4,0.46,184,0.26,white
4555,13.5,0.013,0.12,0.99246,4.8,4,4556,3.32,4,1.1,0.36,10,0.65,white
4947,9.2,0.036,0.4,0.9956,9.8,35,4948,2.97,5,2.8,0.39,167,0.44,white
4261,9.6,0.091,0.24,0.998,7.6,8,4262,3.47,6,2.4,0.66,38,0.51,red
2765,12,0.033,0.3,0.9906,6.8,27,2766,3,6,3.5,0.37,135,0.43,white
718,11.9,0.034,0.27,0.99088,7.9,25,719,2.97,6,1.7,0.51,122,0.27,white
601,9.5,0.056,0.24,0.99718,7,68,602,3.05,5,12.1,0.5,210,0.44,white
2955,10,0.071,0.58,0.998,11.9,5,2956,3.09,6,1.9,0.63,18,0.58,red
866,9.1,0.05,0.31,0.99884,7.5,26,867,3.05,6,13.1,0.53,180,0.24,white
37,9,0.057,0.25,0.9981,5.9,48,38,3.23,6,12,0.41,224,0.29,white
2689,9.3,0.047,0.32,0.9927,5.6,24,2690,3.12,6,1.1,0.42,152,0.245,white
3544,10.5,0.079,0.3,0.99788,8.3,7,3545,3.36,5,3.4,0.61,34,0.43,red
2467,9.8,0.123,0,0.99627,7.1,6,2468,3.45,5,1.8,0.58,14,0.72,red
3573,12.3,0.035,0.22,0.99024,6.8,40,3574,3.09,6,3.4,0.47,122,0.29,white
3038,10.2,0.047,0.25,0.9933,6.4,20,3039,3.61,6,1.3,0.54,77,0.16,white
4343,9.2,0.176,0.18,0.9986,8.9,52,4344,3.16,5,3.8,0.88,145,0.62,red
4206,9.7,0.042,0.46,0.997,6.1,61,4207,3.17,6,12,0.59,210,0.37,white
4136,11.4,0.043,0.11,0.99354,6.9,6,4137,3.3,6,2.4,0.65,12,0.45,red
4082,9.2,0.089,0.36,0.99615,7,14,4083,3.34,6,1.6,0.56,37,0.43,red
1033,8.8,0.047,0.23,0.99906,6.6,37,1034,3.08,6,17.3,0.46,118,0.22,white
4573,9.8,0.079,0.51,0.9982,11.5,14,4574,3.03,6,2.2,0.93,28,0.31,red
1498,11.4,0.037,0.38,0.99046,6.7,20,1499,3.09,6,1.7,0.53,84,0.15,white
5877,12.9,0.03,0.26,0.9908,6.2,39,5878,3.08,7,9.7,0.56,102,0.2,white
236,10,0.052,0.33,0.99316,6.6,40,237,3.15,5,2.5,0.6,219.5,0.32,white
3371,9.4,0.079,0.18,0.9965,7.5,24,3372,3.34,5,1.6,0.58,58,0.4,red
4656,9.4,0.044,0.24,0.9961,5.8,55,4657,3.31,5,9.2,0.38,152,0.26,white
5447,11.1,0.08,0.27,0.9938,7.3,34,5448,3.23,7,4.6,0.39,172,0.13,white
5691,9.8,0.077,0.14,0.9963,7.5,27,5692,3.28,5,2.2,0.59,60,0.58,red
5184,10.4,0.046,0.22,0.9979,6.6,38,5185,3.22,6,16.7,0.67,133,0.32,white
6299,9.4,0.08,0.65,0.9956,6,11,6300,3.04,5,9.7,0.48,159,0.45,white
5345,9.2,0.038,0.48,0.9982,7.6,44,5346,3.04,5,13.5,0.48,116,0.36,white
1097,11.1,0.068,0,0.9956,7.2,10,1098,3.42,6,2.2,0.72,24,0.67,red
1736,13.4,0.032,0.24,0.98934,6.2,19,1737,3.04,8,6.1,0.26,86,0.37,white
954,9.5,0.048,0.47,0.9968,6.2,62,955,3.19,5,11.6,0.5,210,0.25,white
2873,12.4,0.045,0.33,0.99066,8.1,26,2874,2.98,6,1.3,0.44,100,0.27,white
68,13.1,0.031,0.38,0.99154,6.5,54,69,3.03,6,7.8,0.42,216,0.28,white
4674,12.5,0.035,0.32,0.99144,7.6,22,4675,3.08,7,3.6,0.6,93,0.39,white
483,10.9,0.032,0.3,0.993,7.1,24,484,2.99,6,6.2,0.39,134,0.09,white
4499,9.9,0.066,0.04,0.99636,6.6,12,4500,3.53,5,2.2,0.56,20,0.88,red
3493,10.4,0.038,0.4,0.99568,7.2,45,3494,3.2,6,8.7,0.47,154,0.32,white
1976,12.9,0.026,0.28,0.9898,6,54,1977,3.43,8,2.2,0.65,126,0.25,white
4066,11.6,0.086,0.31,1.0002,8.7,23,4067,3.48,6,3,0.74,81,0.69,red
1189,9.2,0.06,0.41,0.99317,6.9,36,1190,2.99,5,1.1,0.39,104,0.2,white
944,10.2,0.051,0.29,0.9939,7.6,26,945,3.16,5,4.4,0.39,146,0.29,white
4938,11.7,0.028,0.4,0.9914,6.1,32,4939,3.26,5,1.9,0.72,138,0.2,white
5741,9.5,0.036,0.36,0.9934,6.9,40,5742,3.27,7,1.3,0.95,117,0.18,white
4574,11.05,0.026,0.36,0.9956,8.3,13,4575,3.13,5,8.8,0.35,60,0.14,white
2790,11.7,0.046,0.28,0.99038,6.5,22,2791,3.18,7,1.4,0.51,90,0.19,white
181,10.4,0.042,0.33,0.99546,6.6,29,182,3.28,5,8.5,0.6,141,0.25,white
625,9.3,0.044,0.42,0.9958,6.8,56,626,3.22,6,7.4,0.48,189,0.23,white
3918,12.5,0.026,0.3,0.98952,5.8,31,3919,3.32,7,1.5,0.6,114,0.28,white
3099,12.6,0.073,0.45,0.9976,10.3,5,3100,3.23,8,6.4,0.82,13,0.32,red
6048,11.2,0.1,0.74,0.9996,11.2,5,6049,3.22,5,5.15,0.62,17,0.5,red
1416,11.8,0.071,0.45,0.99702,10,6,1417,3.21,7,6.2,0.49,14,0.41,red
70,9.5,0.062,0.57,0.99238,6.4,21,71,3,5,1,0.4,122,0.25,white
21,11.2,0.072,0.23,0.99438,6.9,13,22,3.4,6,2,0.84,22,0.51,red
3211,10,0.043,0.49,0.9952,7.8,29,3212,3.21,5,7,0.33,149,0.49,white
3533,8.9,0.053,0.44,0.99685,6.6,62,3534,3.02,5,9,0.45,178,0.29,white
5505,10.8,0.034,0.25,0.992,6.1,37,5506,3.47,7,1.7,0.5,136,0.32,white
3010,9.2,0.062,0.42,0.99318,7,35,3011,3.04,5,1.1,0.4,100,0.23,white
5785,9.9,0.027,0.33,0.9937,7.2,16,5786,3.37,5,1.1,0.4,63,0.15,white
764,9.1,0.04,0.35,0.999,7.1,60,765,3.16,6,16.5,0.59,171,0.23,white
705,12.7,0.026,0.48,0.99144,6.5,18,706,3.22,4,8,0.79,88,0.32,white
3762,10.9,0.086,0.05,0.9962,7.2,4,3763,3.41,5,4.65,0.39,11,0.725,red
807,9.8,0.098,0,0.9968,7.8,25,808,3.2,5,2.6,0.68,67,0.88,red
2174,10.3,0.086,0.03,0.9969,7.6,14,2175,3.37,5,1.9,0.46,57,0.645,red
5797,11,0.046,0.34,0.99299,6.6,30,5798,3.22,5,5.6,0.38,140,0.21,white
2682,9.2,0.04,0.55,0.99596,6.3,67,2683,3.24,5,8.1,0.5,216,0.24,white
1484,10.4,0.039,0.24,0.9934,6.7,6,1485,3.41,5,1.1,0.32,62,0.62,white
5983,10.5,0.053,0.49,0.9942,6.4,25,5984,3.01,6,5.8,0.98,120,0.24,white
6394,12.4,0.055,0.25,0.99171,6.4,28,6395,3.27,8,5,0.5,138,0.32,white
3313,9.5,0.034,0.29,0.99683,7.3,61,3314,3.14,6,11.3,0.56,224,0.51,white
5398,12.5,0.041,0.39,0.99386,8.4,4,5399,3.27,7,2,0.71,10,0.25,red
5156,9.3,0.053,0.22,0.99545,6.2,45,5157,3.23,5,7.9,0.52,149,0.24,white
3026,12.6,0.038,0.27,0.99026,6.5,37,3027,3.2,8,4,0.6,97,0.3,white
2754,11,0.03,0.49,0.994,7.4,26,2755,2.99,7,9.3,0.32,132,0.19,white
1504,11.1,0.051,0.39,0.9906,6.2,42,1505,3.23,6,1.3,0.4,135,0.25,white
1059,11,0.053,0.4,0.99112,6.4,61,1060,3.17,6,1.3,0.68,146,0.15,white
3943,9.4,0.185,0.27,0.9924,6,12,3944,3.12,5,0.8,0.62,188,0.33,white
6247,11.4,0.05,0.25,0.99174,7,51,6248,3,6,1.8,0.55,189,0.4,white
3438,9.4,0.087,0.17,1.0004,9.7,20,3439,3.14,5,2.9,0.61,53,0.55,red
57,12.9,0.044,0.33,0.98896,5.6,21,58,3.17,8,2.9,0.32,73,0.12,white
3619,12,0.034,0.38,0.99026,8.1,36,3620,2.8,6,0.9,0.55,86,0.12,white
3078,13,0.036,0.27,0.99408,6,31,3079,3.19,7,15.5,0.44,134,0.28,white
5187,10.2,0.044,0.74,0.992,6.9,18,5188,3.13,5,1,0.55,132,0.35,white
4747,11,0.021,0.27,0.99442,7.6,57,4748,3.08,7,8.8,0.38,156,0.31,white
3447,10.6,0.034,0.33,0.9934,7,17,3448,3.19,7,4,0.39,127,0.17,white
1658,9.6,0.077,0.59,0.9994,10,3,1659,3.2,5,2.2,0.78,15,0.32,red
3641,12.5,0.043,0.29,0.9902,6.9,33,3642,3.16,6,4.2,0.31,114,0.26,white
3835,12.4,0.033,0.38,0.98962,6.1,28,3836,3.16,6,2.3,0.49,111,0.18,white
2550,10.7,0.038,0.35,0.99546,6.9,49,2551,3,6,13.5,0.63,118,0.19,white
2910,9.9,0.041,0.26,0.9926,7.1,20,2911,3.04,6,1.3,0.74,71,0.18,white
4460,12.2,0.033,0.4,0.98924,6.7,34,4461,2.97,7,2.1,0.48,111,0.34,white
3167,10.8,0.039,0.37,0.9922,6.7,34,3168,3.26,7,2,0.6,125,0.17,white
1175,10.1,0.071,0.58,0.99935,10.9,17,1176,3.22,5,4,0.78,65,0.37,red
2583,10.4,0.051,0.32,0.99354,7.1,29,2584,3.3,6,2,0.5,130,0.34,white
5678,9.6,0.053,0.24,0.9982,6.9,19,5679,3.17,5,14.2,0.5,94,0.23,white
3409,9.2,0.067,0.26,0.9986,7.6,32,3410,3.03,4,15.3,0.44,166,0.23,white
3087,11.4,0.026,0.37,0.9903,7.1,23,3088,3.15,7,2.4,0.38,100,0.21,white
4921,11.2,0.064,0.32,0.99576,9.1,4,4922,3.3,6,2.1,0.8,15,0.37,red
2322,10.5,0.06,0.31,0.9963,7.3,34,2323,3.72,6,1.7,0.69,110,0.205,white
1463,13.4,0.04,0.31,0.9896,6.9,21,1464,3.18,7,4.2,0.48,93,0.33,white
1144,13,0.035,0.26,0.99031,6.1,14,1145,3.06,7,8.15,0.27,88,0.36,white
716,11.2,0.019,0.28,0.9902,5.7,15,717,3.06,6,2.2,0.52,65,0.28,white
5141,8.8,0.047,0.68,0.9978,7.5,37,5142,2.99,5,11,0.38,133,0.23,white
599,9.1,0.05,0.3,0.99652,7.2,40,600,3.15,6,8.1,0.49,188,0.3,white
1128,11.4,0.056,0.21,0.9908,5.8,35,1129,3.32,6,1.3,0.33,121,0.12,white
5657,10.8,0.04,0.22,0.99338,6.3,30,5658,3.05,4,9.5,0.31,111,0.28,white
1697,9.6,0.079,0.15,0.9972,8.3,17,1698,3.31,6,1.9,0.54,42,0.66,red
6027,9.1,0.047,0.25,1.00016,8.4,25,6028,2.98,5,17.75,0.66,218,0.3,white
2876,10.1,0.046,0.29,0.9952,6.3,29,2877,3.29,6,6.2,0.53,227,0.34,white
3354,12.1,0.035,0.36,0.9891,5.1,40,3355,3.23,7,1.3,0.64,78,0.25,white
1272,9.8,0.066,0.25,0.9939,6.2,62,1273,3.25,5,4.4,0.52,207,0.46,white
4096,10.1,0.046,0.74,0.9978,6.4,54,4097,3.58,5,11.9,0.68,168,0.18,white
2848,12.3,0.017,0.01,0.9894,5.1,25,2849,3.38,7,1.5,0.36,102,0.42,white
52,10.4,0.039,0.24,0.99304,6.6,29,53,3.35,7,1.6,0.61,140,0.295,white
1960,9.5,0.053,0.33,0.99404,8.3,12,1961,2.89,5,2.5,0.48,72,0.25,white
1174,10.2,0.048,0.22,0.9955,6.7,54,1175,3.25,5,8.6,0.41,198,0.265,white
2402,12.5,0.04,0.35,0.99128,7.1,41,2403,3.32,6,2.5,0.56,186,0.21,white
6354,11,0.123,0.09,0.9968,6.4,14,6355,3.5,4,3.9,0.67,31,0.53,red
1856,9.7,0.055,0.49,0.9974,7.4,49,1857,3.52,6,8.2,0.58,188,0.3,white
2153,9.7,0.033,0.27,0.9988,10,45,2154,2.72,6,14.1,0.43,166,0.23,white
854,13,0.046,0.08,0.9924,5.4,13,855,3.57,7,1.2,0.85,93,0.835,red
5143,9.4,0.042,0.21,0.99373,6.1,17,5144,3.02,5,5,0.53,133,0.34,white
5745,9.3,0.038,0.71,1,8,61,5746,2.95,5,17.35,0.75,228,0.59,white
842,9.2,0.045,0.42,0.9991,7.7,45,843,3.18,5,14.3,0.63,213,0.3,white
3561,9.4,0.077,0.04,0.9987,6.9,7,3562,3.69,6,3,0.91,27,0.54,red
6000,8.7,0.044,0.73,1.00013,8.7,27,6001,2.96,5,14.35,0.88,191,0.31,white
3927,10.7,0.03,0.29,0.99474,6.1,29,3928,3.68,6,6,0.46,144,0.16,white
5052,11.2,0.034,0.23,0.99344,8.3,6,5053,3.05,5,6.65,0.48,158,0.49,white
2760,10.9,0.044,0.36,0.9959,7.1,20,2761,3.16,7,10.7,0.44,90,0.16,white
1124,9,0.046,0.17,0.9976,6,65,1125,3.15,6,12,0.38,246,0.39,white
1693,10.1,0.052,0.32,0.99266,6.2,32,1694,3.28,5,1.2,0.44,185,0.3,white
5043,9.6,0.047,0.42,0.9937,5.8,38.5,5044,3.25,6,4.4,0.57,245,0.4,white
885,12.8,0.095,0.32,0.98954,6.6,13,886,3.1,6,3,0.63,75,0.44,white
5576,12,0.037,0.52,0.99022,6.1,32,5577,3.24,6,1.4,0.45,123,0.68,white
4094,9.4,0.042,0.49,0.99855,8.2,58,4095,3.1,5,13.6,0.54,166,0.38,white
3338,12.3,0.027,0.38,0.98926,6.5,31,3339,3.24,6,1,0.36,90,0.24,white
1270,9.1,0.047,0.4,0.99945,7.1,47,1271,3.34,6,14.55,0.78,156,0.17,white
1877,9.7,0.048,0.27,0.99606,6.6,28,1878,2.87,6,11.8,0.49,112,0.26,white
6174,10.9,0.028,0.32,0.993,6.4,15,6175,3.13,8,7.2,0.55,83,0.22,white
3642,10.8,0.044,0.38,0.996,8.1,49,3643,3.37,6,4.3,0.74,172,0.24,white
5590,11.3,0.026,0.21,0.99089,6.6,48,5591,3.22,7,2.9,0.38,126,0.26,white
3318,11.1,0.047,0.35,0.99111,6.8,40,3319,3.07,6,1.5,0.72,117,0.14,white
